NAME            PROPERTY              VALUE                  SOURCE
mypool/data2    dnodesize             legacy                 default
mypool/data2    refcompressratio      1.08x                  -
mypool/data2    written               1.18M                  -
mypool/data2    logicalused           1.26M                  -
mypool/data2    logicalreferenced     1.26M                  -
mypool/data2    volmode               default                default
mypool/data2    filesystem_limit      none                   default
mypool/data2    snapshot_limit        none                   default
mypool/data2    filesystem_count      none                   default
mypool/data2    snapshot_count        none                   default
mypool/data2    snapdev               hidden                 default
mypool/data2    acltype               off                    default
mypool/data2    context               none                   default
mypool/data2    fscontext             none                   default
mypool/data2    defcontext            none                   default
mypool/data2    rootcontext           none                   default
mypool/data2    relatime              off                    default
mypool/data2    redundant_metadata    all                    default
mypool/data2    overlay               off                    default
mypool/data2    encryption            off                    default
mypool/data2    keylocation           none                   default
mypool/data2    keyformat             none                   default
mypool/data2    pbkdf2iters           0                      default
mypool/data2    special_small_blocks  0                      default
mypool/data3    type                  filesystem             -
mypool/data3    creation              Thu May 28  9:19 2020  -
mypool/data3    used                  1.19M                  -
mypool/data3    available             12.8G                  -
mypool/data3    referenced            1.19M                  -
mypool/data3    compressratio         1.07x                  -
mypool/data3    mounted               yes                    -
mypool/data3    quota                 none                   default
mypool/data3    reservation           none                   default
mypool/data3    recordsize            128K                   default
mypool/data3    mountpoint            /mypool/data3          default
mypool/data3    sharenfs              off                    default
mypool/data3    checksum              on                     default
mypool/data3    compression           lzjb                   local
mypool/data3    atime                 on                     default
mypool/data3    devices               on                     default
mypool/data3    exec                  on                     default
mypool/data3    setuid                on                     default
mypool/data3    readonly              off                    default
mypool/data3    zoned                 off                    default
mypool/data3    snapdir               hidden                 default
mypool/data3    aclinherit            restricted             default
mypool/data3    createtxg             27                     -
mypool/data3    canmount              on                     default
mypool/data3    xattr                 on                     default
mypool/data3    copies                1                      default
mypool/data3    version               5                      -
mypool/data3    utf8only              off                    -
mypool/data3    normalization         none                   -
mypool/data3    casesensitivity       sensitive              -
mypool/data3    vscan                 off                    default
mypool/data3    nbmand                off                    default
mypool/data3    sharesmb              off                    default
mypool/data3    refquota              none                   default
mypool/data3    refreservation        none                   default
mypool/data3    guid                  6616510714108844887    -
mypool/data3    primarycache          all                    default
mypool/data3    secondarycache        all                    default
mypool/data3    usedbysnapshots       0B                     -
mypool/data3    usedbydataset         1.19M                  -
mypool/data3    usedbychildren        0B                     -
mypool/data3    usedbyrefreservation  0B                     -
mypool/data3    logbias               latency                default
mypool/data3    objsetid              109                    -
mypool/data3    dedup                 off                    default
mypool/data3    mlslabel              none                   default
mypool/data3    sync                  standard               default
mypool/data3    dnodesize             legacy                 default
mypool/data3    refcompressratio      1.07x                  -
mypool/data3    written               1.19M                  -
mypool/data3    logicalused           1.26M                  -
mypool/data3    logicalreferenced     1.26M                  -
mypool/data3    volmode               default                default
mypool/data3    filesystem_limit      none                   default
mypool/data3    snapshot_limit        none                   default
mypool/data3    filesystem_count      none                   default
mypool/data3    snapshot_count        none                   default
mypool/data3    snapdev               hidden                 default
mypool/data3    acltype               off                    default
mypool/data3    context               none                   default
mypool/data3    fscontext             none                   default
mypool/data3    defcontext            none                   default
mypool/data3    rootcontext           none                   default
mypool/data3    relatime              off                    default
mypool/data3    redundant_metadata    all                    default
mypool/data3    overlay               off                    default
mypool/data3    encryption            off                    default
mypool/data3    keylocation           none                   default
mypool/data3    keyformat             none                   default
mypool/data3    pbkdf2iters           0                      default
mypool/data3    special_small_blocks  0                      default
mypool/data4    type                  filesystem             -
mypool/data4    creation              Thu May 28  9:20 2020  -
mypool/data4    used                  1.18M                  -
mypool/data4    available             12.8G                  -
mypool/data4    referenced            1.18M                  -
mypool/data4    compressratio         1.08x                  -
mypool/data4    mounted               yes                    -
mypool/data4    quota                 none                   default
mypool/data4    reservation           none                   default
mypool/data4    recordsize            128K                   default
mypool/data4    mountpoint            /mypool/data4          default
mypool/data4    sharenfs              off                    default
mypool/data4    checksum              on                     default
mypool/data4    compression           zle                    local
mypool/data4    atime                 on                     default
mypool/data4    devices               on                     default
mypool/data4    exec                  on                     default
mypool/data4    setuid                on                     default
mypool/data4    readonly              off                    default
mypool/data4    zoned                 off                    default
mypool/data4    snapdir               hidden                 default
mypool/data4    aclinherit            restricted             default
mypool/data4    createtxg             30                     -
mypool/data4    canmount              on                     default
mypool/data4    xattr                 on                     default
mypool/data4    copies                1                      default
mypool/data4    version               5                      -
mypool/data4    utf8only              off                    -
mypool/data4    normalization         none                   -
mypool/data4    casesensitivity       sensitive              -
mypool/data4    vscan                 off                    default
mypool/data4    nbmand                off                    default
mypool/data4    sharesmb              off                    default
mypool/data4    refquota              none                   default
mypool/data4    refreservation        none                   default
mypool/data4    guid                  16647254362057077426   -
mypool/data4    primarycache          all                    default
mypool/data4    secondarycache        all                    default
